KEY_DISTRITO,KEY_SECCION,Antig_1901_a_1940,Antig_1941_a_1950,Antig_1951_a_1960,Antig_1961_a_1970,Antig_1971_a_1980,Antig_1981_a_1990,Antig_1991_a_2000,Antig_2001_a_2010,Antig_2011_a_2020,Antig_2021_a_2030,Antig_Menor_1901
01,001,10,9,4,4,10,5,7,0,2,2,31
01,002,17,0,3,2,0,2,2,9,0,3,59
01,003,0,2,0,9,5,5,5,8,0,1,38
01,004,23,6,11,2,11,2,21,18,2,0,68
01,005,78,3,0,3,0,6,8,7,0,0,91
01,006,26,0,1,1,1,0,3,1,0,0,87
01,007,3,0,2,0,0,1,3,17,1,0,58
01,008,15,3,4,2,2,0,2,4,6,0,85
01,009,7,0,1,3,1,0,1,15,0,1,57
01,010,9,2,1,1,3,0,6,4,0,0,81
01,011,10,2,3,3,7,3,3,6,0,1,146
01,012,14,4,1,0,7,1,3,12,0,0,71
01,013,10,3,2,7,1,0,2,2,0,0,13
01,014,6,0,0,1,0,0,1,0,1,0,62
01,015,8,2,1,3,10,0,3,1,0,0,51
01,016,28,0,0,0,0,2,2,0,2,0,62
01,017,19,0,0,0,0,0,0,0,0,0,73
01,018,3,0,0,2,0,6,7,1,0,0,48
01,019,10,0,0,6,3,0,4,1,4,0,178
01,020,30,6,4,7,1,1,13,3,0,1,107
01,021,81,3,6,7,2,3,21,9,1,3,93
01,022,34,4,11,16,16,8,7,5,0,0,84
01,023,41,11,11,18,9,2,4,10,4,2,177
01,025,33,7,8,0,0,2,2,0,0,0,141
01,026,24,5,5,6,1,0,8,0,0,0,123
01,027,23,1,2,1,0,4,3,1,0,1,98
01,028,102,8,3,9,10,4,9,4,1,1,160
01,029,48,6,2,14,5,0,2,6,0,0,97
01,030,45,6,5,6,8,5,12,4,4,0,105
01,031,18,0,0,1,0,1,5,1,2,1,122
01,032,57,9,12,16,5,1,6,3,1,0,55
01,033,26,5,16,6,4,1,0,3,1,0,26
01,034,36,3,7,3,1,2,1,8,3,1,19
01,035,25,3,4,5,0,0,1,2,1,0,26
01,036,14,1,2,3,4,7,12,14,0,0,10
01,037,11,2,4,4,1,3,2,0,4,0,25
01,038,19,4,7,11,3,1,0,2,0,0,78
01,039,41,23,5,9,6,0,2,3,0,0,35
01,040,52,16,11,8,2,0,3,3,0,0,17
01,041,109,4,4,6,1,0,3,4,2,0,58
01,042,19,0,3,6,0,4,7,8,2,0,40
01,043,18,8,4,3,4,1,4,17,3,0,108
01,044,26,0,2,0,1,11,10,6,1,1,65
01,045,56,0,3,9,3,3,3,3,2,0,172
01,046,53,6,2,5,3,2,9,2,2,0,136
01,047,55,1,4,2,1,1,1,3,3,0,136
01,048,24,3,6,8,0,0,21,8,0,1,119
01,049,11,0,2,4,3,0,2,14,1,0,58
01,050,22,0,1,3,3,2,0,7,1,0,99
01,051,57,3,1,1,0,0,1,4,0,0,75
01,052,85,11,10,2,4,5,1,0,3,0,114
01,053,25,0,1,0,1,4,7,7,2,0,97
01,054,22,4,5,5,2,5,8,1,0,0,46
01,055,8,1,0,12,11,0,3,1,0,0,18
02,001,6,2,1,5,2,0,14,11,7,1,12
02,002,5,0,0,19,7,4,0,12,0,0,3
02,003,1,1,2,2,0,5,2,7,0,0,13
02,004,3,1,5,10,3,0,1,1,0,0,0
02,005,12,2,0,14,13,3,5,9,0,0,2
02,006,28,2,2,8,7,3,0,3,1,0,5
02,007,7,0,4,7,2,2,5,7,0,0,5
02,008,22,3,3,12,3,4,2,3,0,0,1
02,009,15,0,2,8,10,4,2,2,1,0,6
02,010,5,4,2,3,5,2,2,0,0,0,0
02,011,3,0,1,9,3,1,6,3,1,0,2
02,012,5,0,1,4,11,2,1,3,0,0,9
02,013,36,1,4,1,1,2,5,4,1,0,5
02,014,36,2,1,3,3,0,1,0,0,1,1
02,015,12,11,9,7,1,2,2,0,0,0,0
02,016,20,0,4,11,4,6,7,2,1,0,4
02,017,10,6,5,19,9,6,4,2,0,0,8
02,018,12,2,0,20,6,2,0,0,0,0,4
02,019,23,6,3,9,8,5,2,13,2,0,1
02,020,25,2,3,6,0,4,2,4,4,3,4
02,021,21,2,11,19,4,0,9,4,1,1,1
02,022,22,3,3,6,2,1,6,0,0,0,9
02,023,5,0,2,5,2,12,5,1,0,0,0
02,024,15,3,12,2,3,3,3,0,0,0,0
02,025,12,1,2,7,6,2,2,0,0,1,0
02,026,41,7,15,14,4,3,4,4,0,0,1
02,027,16,9,9,13,7,1,5,3,0,0,1
02,028,45,0,6,9,11,5,6,4,1,0,6
02,029,8,1,2,4,12,1,1,0,1,0,0
02,030,3,3,20,7,1,0,0,3,2,0,0
02,031,7,0,0,1,2,6,4,2,0,0,6
02,032,17,11,7,15,6,3,6,6,0,0,2
02,033,50,4,8,23,4,1,1,5,1,0,2
02,034,32,4,7,8,5,0,3,3,0,0,1
02,035,7,5,14,8,5,0,1,0,0,1,0
02,036,33,19,4,9,11,3,3,7,0,0,0
02,037,12,2,1,6,9,5,4,0,0,1,0
02,038,48,4,10,9,4,5,12,4,0,1,1
02,039,26,21,5,6,5,2,4,1,0,0,0
02,040,87,13,9,23,8,2,5,1,2,0,0
02,041,53,2,3,5,8,1,4,3,0,1,0
02,042,2,0,2,26,8,7,3,1,0,0,0
02,043,10,8,3,13,2,3,3,3,0,0,0
02,044,28,3,0,5,5,0,2,1,0,0,0
02,045,10,4,3,6,6,2,5,1,0,0,0
02,046,2,12,39,0,3,4,0,0,0,0,0
02,047,18,8,2,8,12,3,0,7,0,0,0
02,048,28,2,7,5,7,1,3,1,2,2,0
02,049,66,10,8,22,2,15,6,7,3,2,8
02,050,40,3,4,17,11,4,4,6,0,0,9
02,051,78,2,7,8,6,3,1,0,0,0,18
02,052,57,3,4,12,23,2,14,9,2,0,14
02,053,34,3,5,17,7,2,5,10,4,0,18
02,054,42,0,1,12,7,3,0,8,2,0,1
02,055,53,2,5,4,3,3,3,0,1,0,0
02,056,35,6,7,13,10,3,3,2,1,0,3
02,057,46,2,3,6,5,8,3,0,0,0,1
02,058,12,0,2,3,3,1,3,6,0,0,6
02,059,49,5,6,7,3,3,0,1,0,0,3
02,060,33,3,10,17,13,2,0,0,1,1,9
02,061,37,5,7,4,6,2,4,4,1,0,12
02,062,32,2,2,7,1,0,3,3,0,1,62
02,063,41,5,3,3,9,16,2,1,0,0,24
02,064,37,5,4,4,6,2,2,0,0,0,7
02,065,21,1,5,23,8,1,3,7,1,0,100
02,066,27,0,0,6,7,5,0,1,0,2,10
02,067,17,4,5,8,4,2,5,7,0,0,37
02,068,14,1,1,0,14,3,2,0,0,1,42
02,069,21,6,2,5,9,7,4,3,0,0,47
02,070,15,2,8,11,6,3,3,12,4,0,57
02,071,19,4,8,13,19,6,3,1,0,1,60
02,072,19,1,9,8,10,4,8,6,0,1,55
02,073,48,1,2,5,8,3,5,5,2,2,54
02,074,17,1,4,6,1,1,3,1,1,2,71
02,075,22,1,2,10,8,1,1,1,2,0,66
02,076,20,4,3,11,4,7,6,8,1,0,108
02,077,72,15,28,20,13,16,19,11,5,6,177
02,078,27,20,32,22,23,14,12,17,1,1,98
02,079,78,4,10,18,27,10,11,8,2,1,98
02,080,94,6,5,23,13,8,12,20,3,0,63
02,081,84,14,11,21,22,7,14,15,5,1,137
02,082,30,4,12,25,10,6,2,8,1,1,33
02,083,78,3,3,25,15,12,10,6,2,0,92
02,084,46,6,10,10,7,2,3,9,5,1,90
02,085,60,3,12,7,17,1,0,0,1,1,22
02,086,63,5,1,2,3,2,0,6,0,0,13
02,087,37,2,6,12,5,5,1,5,0,0,15
02,088,20,2,5,16,2,5,2,6,6,0,49
02,089,65,1,3,5,13,3,0,3,1,0,41
02,090,5,0,3,5,4,6,2,2,2,0,101
02,091,4,7,7,16,6,5,1,12,0,0,93
02,092,24,1,7,18,14,20,3,8,1,0,85
02,093,27,0,5,10,21,9,1,0,0,0,21
02,094,14,1,2,3,10,2,2,5,2,1,34
02,095,28,0,2,2,6,4,3,1,1,0,31
02,096,36,4,6,0,13,4,0,4,0,0,22
02,097,10,4,1,4,5,0,3,8,1,0,25
02,098,22,2,0,6,3,3,2,2,2,0,37
02,099,38,0,5,4,1,2,1,0,1,0,15
02,100,9,3,4,9,31,8,2,8,0,0,2
02,101,20,2,9,17,10,1,1,7,0,0,14
02,102,20,1,9,10,1,0,6,0,0,0,11
02,103,35,1,9,10,11,5,4,6,0,1,26
02,104,2,1,1,5,11,1,1,0,0,0,0
02,105,49,1,1,13,3,0,1,3,0,0,3
02,106,55,3,6,10,8,1,0,4,1,0,11
02,107,21,11,0,15,10,3,4,1,2,0,0
02,108,15,3,5,24,3,2,1,2,1,0,0
02,109,14,8,11,27,1,0,0,0,0,0,0
02,110,16,13,10,20,15,3,6,10,1,1,10
02,111,32,2,6,30,7,4,5,7,1,1,1
