Agrupacions censals (a 01-01-2024)
Institut d'Estadística de Catalunya
https://www.idescat.cat/codis/?id=50&n=81
Nivell;Codi;Nom;Tipus AC;Codi comarca;
Agrupació censal;431613001;Valls 1 (Oest, Nucli Urbà Est, Exteriors Nord i Est);10;01;
Municipi;431613;Valls;;;
Secció censal;04001; ;;;
Secció censal;04002; ;;;
Secció censal;04003; ;;;
Secció censal;05002; ;;;
Secció censal;06001; ;;;
Secció censal;06002; ;;;
Secció censal;06003; ;;;
Secció censal;06005; ;;;
Secció censal;06006; ;;;
Agrupació censal;431613002;Valls 2 (Nucli Urbà Nord);10;01;
Municipi;431613;Valls;;;
Secció censal;05001; ;;;
Secció censal;05003; ;;;
Secció censal;06004; ;;;
Agrupació censal;431613003;Valls 3 (Sud);10;01;
Municipi;431613;Valls;;;
Secció censal;01001; ;;;
Secció censal;02001; ;;;
Secció censal;03001; ;;;
Agrupació censal;810017001;Alt Camp Sud (Alcover);31;01;
Municipi;430056;Alcover;;;
Secció censal;01001; ;;;
Secció censal;02001; ;;;
Municipi;430108;Alió;;;
Secció censal;01001; ;;;
Municipi;430666;Garidells, els;;;
Secció censal;01001; ;;;
Municipi;430803;Masó, la;;;
Secció censal;01001; ;;;
Municipi;430831;Milà, el;;;
Secció censal;01001; ;;;
Municipi;430918;Mont-ral;;;
Secció censal;01001; ;;;
Municipi;430982;Nulles;;;
Secció censal;01001; ;;;
Municipi;431191;Puigpelat;;;
Secció censal;01001; ;;;
Municipi;431248;Riba, la;;;
Secció censal;01001; ;;;
Municipi;431346;Rourell, el;;;
Secció censal;01001; ;;;
Municipi;431606;Vallmoll;;;
Secció censal;01001; ;;;
Agrupació censal;810017002;Alt Camp Est (el Pla de Santa Maria);31;01;
Municipi;430017;Aiguamúrcia;;;
Secció censal;01001; ;;;
Municipi;430347;Bràfim;;;
Secció censal;01001; ;;;
Municipi;430363;Cabra del Camp;;;
Secció censal;01001; ;;;
Municipi;430593;Figuerola del Camp;;;
Secció censal;01001; ;;;
Municipi;430897;Montferri;;;
Secció censal;01001; ;;;
Municipi;431080;Pla de Santa Maria, el;;;
Secció censal;01001; ;;;
Municipi;431135;Pont d'Armentera, el;;;
Secció censal;01001; ;;;
Municipi;431205;Querol;;;
Secció censal;01001; ;;;
Municipi;431325;Rodonyà;;;
Secció censal;01001; ;;;
Municipi;431704;Vila-rodona;;;
Secció censal;01001; ;;;
Municipi;431652;Vilabella;;;
Secció censal;01001; ;;;
Agrupació censal;170470000;Castelló d'Empúries;20;02;
Municipi;170470;Castelló d'Empúries;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Secció censal;01003; ;;;
Secció censal;01004; ;;;
Agrupació censal;170622000;Escala, l';20;02;
Municipi;170622;Escala, l';;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Secció censal;01003; ;;;
Secció censal;01004; ;;;
Secció censal;01005; ;;;
Agrupació censal;170669001;Figueres 1 (Centre-nord);10;02;
Municipi;170669;Figueres;;;
Secció censal;01007; ;;;
Secció censal;01008; ;;;
Secció censal;02001; ;;;
Secció censal;02002; ;;;
Agrupació censal;170669002;Figueres 2 (Centre-sud);10;02;
