any;secció censal;sexe;edat;concepte;estat;valor
2024;25001901001;homes;de 0 a 15 anys;població;;6
2024;25001901001;homes;de 16 a 64 anys;població;;54
2024;25001901001;homes;65 anys o més;població;;22
2024;25001901001;homes;total;població;;82
2024;25001901001;dones;de 0 a 15 anys;població;;8
2024;25001901001;dones;de 16 a 64 anys;població;;54
2024;25001901001;dones;65 anys o més;població;;17
2024;25001901001;dones;total;població;;79
2024;25001901001;total;de 0 a 15 anys;població;;14
2024;25001901001;total;de 16 a 64 anys;població;;108
2024;25001901001;total;65 anys o més;població;;39
2024;25001901001;total;total;població;;161
2024;08001801001;homes;de 0 a 15 anys;població;;111
2024;08001801001;homes;de 16 a 64 anys;població;;508
2024;08001801001;homes;65 anys o més;població;;147
2024;08001801001;homes;total;població;;766
2024;08001801001;dones;de 0 a 15 anys;població;;110
2024;08001801001;dones;de 16 a 64 anys;població;;487
2024;08001801001;dones;65 anys o més;població;;188
2024;08001801001;dones;total;població;;785
2024;08001801001;total;de 0 a 15 anys;població;;221
2024;08001801001;total;de 16 a 64 anys;població;;995
2024;08001801001;total;65 anys o més;població;;335
2024;08001801001;total;total;població;;1551
2024;08001801002;homes;de 0 a 15 anys;població;;165
2024;08001801002;homes;de 16 a 64 anys;població;;646
2024;08001801002;homes;65 anys o més;població;;173
2024;08001801002;homes;total;població;;984
2024;08001801002;dones;de 0 a 15 anys;població;;138
2024;08001801002;dones;de 16 a 64 anys;població;;621
2024;08001801002;dones;65 anys o més;població;;228
2024;08001801002;dones;total;població;;987
2024;08001801002;total;de 0 a 15 anys;població;;303
2024;08001801002;total;de 16 a 64 anys;població;;1267
2024;08001801002;total;65 anys o més;població;;401
2024;08001801002;total;total;població;;1971
2024;08001801003;homes;de 0 a 15 anys;població;;75
2024;08001801003;homes;de 16 a 64 anys;població;;314
2024;08001801003;homes;65 anys o més;població;;71
2024;08001801003;homes;total;població;;460
2024;08001801003;dones;de 0 a 15 anys;població;;90
2024;08001801003;dones;de 16 a 64 anys;població;;316
