KEY_DISTRITO,KEY_SECCION,Renda_Media_Euros
01,001,15940
01,002,13841
01,003,12732
01,004,15749
01,005,13190
01,006,14262
01,007,13335
01,008,10692
01,009,13723
01,010,11833
01,011,11708
01,012,14737
01,013,14851
01,014,14082
01,015,14744
01,016,14277
01,017,12292
01,018,13914
01,019,13991
01,020,19278
01,021,19473
01,022,24330
01,023,20302
01,025,18972
01,026,20162
01,027,17614
01,028,19283
01,029,16012
01,030,15938
01,031,15400
01,032,19836
01,033,17188
01,034,17278
01,035,17458
01,036,17877
01,037,18627
01,038,16281
01,039,18053
01,040,19187
01,041,17187
01,042,18653
01,043,25186
01,044,20772
01,045,19646
01,046,17547
01,047,20023
01,048,15023
01,049,18668
01,050,17298
01,051,17760
01,052,24015
01,053,17569
01,054,18968
01,055,23042
02,001,22790
02,002,23841
02,003,26735
02,004,20846
02,005,25223
02,006,26174
02,007,28926
02,008,26072
02,009,25066
02,010,23183
02,011,24698
02,012,20656
02,013,21814
02,014,20498
02,015,20373
02,016,26542
02,017,26887
02,018,25637
02,019,24358
02,020,22945
02,021,23411
02,022,23805
02,023,24495
02,024,21808
02,025,22251
02,026,22712
02,027,23205
02,028,23093
02,029,23537
02,030,19958
02,031,25192
02,032,24660
02,033,23934
02,034,21815
02,035,25035
02,036,25842
02,037,27029
02,038,26402
02,039,23132
02,040,20914
02,041,23317
02,042,25918
02,043,24593
02,044,21162
02,045,25351
02,046,21589
02,047,22895
02,048,22490
02,049,22119
02,050,23490
02,051,20797
02,052,24261
02,053,24829
02,054,24388
02,055,25670
02,056,26223
02,057,32110
02,058,29126
02,059,28590
02,060,26853
02,061,25141
02,062,29073
02,063,33504
02,064,34279
02,065,26124
02,066,26487
02,067,24205
02,068,24597
02,069,27907
02,070,29588
02,071,30730
02,072,32777
02,073,29806
02,074,32048
02,075,29337
02,076,33570
02,077,27936
02,078,30538
02,079,34652
02,080,29980
02,081,32610
02,082,35461
02,083,35723
02,084,29114
02,085,29619
02,086,31623
02,087,28228
02,088,30535
02,089,28941
02,090,26461
02,091,27557
02,092,26561
02,093,26544
02,094,27481
02,095,27232
02,096,24967
02,097,25274
02,098,28586
02,099,29234
02,100,27833
02,101,26991
02,102,31352
02,103,23458
02,104,28771
02,105,24334
02,106,30506
02,107,29971
02,108,31290
02,109,32778
02,110,26399
02,111,26249
02,112,32346
02,113,30804
02,114,26587
02,115,24599
02,116,30343
02,117,24991
02,118,29697
02,119,27970
02,120,25793
02,121,28742
02,122,28801
02,123,25556
02,124,27242
02,125,26043
02,126,28075
02,127,24908
02,128,24196
02,129,25179
02,130,35407
02,131,25947
02,132,26171
02,133,25551
02,134,24148
02,135,23347
02,136,25572
02,137,22926
02,138,25759
02,139,24784
02,140,25629
02,141,23865
02,142,22294
02,143,25002
02,144,26948
02,145,24336
02,146,23632
02,147,23710
02,148,26725
02,149,23965
02,150,21546
02,151,24718
02,152,26290
02,153,26237
02,154,19916
02,155,22039
02,156,24740
02,157,22316
02,158,23191
02,159,23155
02,160,26665
02,161,24006
02,162,21963
02,163,25409
02,164,24182
02,165,25006
02,166,22865
02,167,23870
02,168,23260
02,169,24208
02,170,23748
02,171,20799
02,172,22197
02,173,23774
03,001,20069
03,002,18708
03,003,17692
03,004,21142
03,005,18633
03,006,19132
03,007,18151
03,008,18302
03,009,19616
03,010,17286
03,011,15812
03,012,18432
03,013,17314
03,014,17103
03,015,17648
03,016,17337
03,017,16689
03,018,18242
03,019,17406
03,020,20110
03,021,20255
03,022,20151
03,023,17561
03,024,17513
03,025,16015
03,026,18416
03,027,19920
03,028,22039
03,029,17742
03,030,19361
03,031,18179
03,032,16019
03,033,14603
03,034,18227
03,035,19380
03,036,20920
03,037,20697
03,038,15036
03,039,14267
03,040,23967
03,041,20557
03,042,20888
03,043,21852
03,044,19956
03,045,21527
03,046,24473
03,047,20205
03,048,25306
03,049,21476
03,050,22613
03,051,18166
03,052,20152
03,053,18930
03,054,22160
03,055,21161
03,056,20051
03,057,20487
03,058,26006
03,059,19658
03,060,23481
03,061,20652
03,062,21116
03,063,20791
03,064,21528
03,065,21382
03,066,19338
03,067,21399
03,068,18598
03,069,22069
03,070,17892
03,071,18441
03,072,18574
03,073,21623
03,074,20800
03,075,19024
03,076,19553
03,077,19655
03,078,18867
03,079,18537
03,080,20231
03,081,20732
03,082,23596
03,083,21742
03,084,22127
03,085,24468
03,086,26299
03,087,24888
03,088,22442
03,089,23852
03,090,25943
03,091,23272
03,092,22462
03,093,23518
03,094,24128
03,095,22661
03,096,20296
03,097,16862
03,098,18931
03,099,21918
03,100,21683
03,101,21444
03,102,21738
03,103,21739
03,104,21102
03,105,20677
03,106,22139
03,107,21766
03,108,21840
03,109,23218
03,110,23572
03,111,23842
03,112,24910
03,113,29431
03,114,28033
03,211,19363
03,212,17868
03,213,15464
04,001,25302
04,002,26879
04,003,26841
04,004,25040
04,005,25649
04,006,26326
04,007,24148
04,008,23436
04,009,26050
04,010,29424
04,011,30053
04,012,28929
04,013,30302
04,014,29234
04,015,27516
04,016,30137
04,017,29103
04,018,30988
04,019,35746
04,020,30640
04,021,34175
04,022,28396
04,023,40145
04,024,42299
04,025,28740
04,026,28094
04,027,29733
04,028,26632
04,029,31839
04,030,30001
04,031,26672
04,032,25739
04,033,25241
04,034,30986
04,035,28598
04,036,24241
04,037,25481
04,038,25111
04,039,23770
04,040,20566
04,041,21731
04,042,20164
04,043,28921
04,044,22852
04,045,23340
04,046,31150
04,047,26511
04,048,28498
04,049,38353
04,050,42688
04,051,31224
04,052,42718
04,053,25939
04,054,35950
04,055,43069
04,056,43325
04,084,30811
05,001,22779
05,002,33172
05,003,32833
05,004,43273
05,005,32579
05,006,43253
05,007,35129
05,008,43189
05,009,32367
05,010,30338
05,011,31733
05,012,29677
05,013,34728
05,014,36363
05,015,32862
05,016,27137
05,017,42969
05,018,31722
05,019,39823
05,020,38910
05,021,43205
05,022,43027
05,023,28562
05,024,42217
05,025,43199
05,026,43194
05,027,43246
05,028,42701
05,029,43324
05,030,43201
05,031,43001
05,032,43308
05,033,40263
05,034,32509
05,035,42303
05,036,39757
05,037,30840
05,038,29317
05,039,37427
05,040,29072
05,041,32266
05,042,33486
05,043,29496
05,044,31196
05,045,37769
05,046,42767
05,047,35000
05,048,40207
05,049,41972
05,050,31876
05,051,38555
05,052,43208
05,053,43116
05,054,43231
05,055,43191
05,056,38417
05,057,42668
05,058,42862
05,059,33580
05,060,42956
05,061,32739
05,062,38614
05,063,37872
05,064,38472
05,065,32027
05,066,37690
05,067,35280
05,068,32194
05,069,31766
05,070,30090
05,071,29842
05,072,30802
05,073,29657
05,074,35750
05,075,30936
05,076,33011
05,077,34763
05,078,35831
05,079,31811
05,080,30910
05,081,28725
05,082,28627
05,083,29281
05,084,29095
05,085,26163
05,086,28430
05,087,29751
05,088,30623
05,089,30405
05,090,28507
05,091,24543
05,092,36670
05,093,31787
05,094,34338
05,095,28250
05,096,27064
05,097,28125
05,098,28473
06,001,23380
06,002,24799
06,003,22039
06,004,25649
06,006,32132
06,007,27507
06,008,24441
06,009,32520
06,010,29772
06,011,27770
06,012,29751
06,013,23915
06,014,20817
06,015,20877
06,016,20016
06,017,21324
06,018,22640
06,019,23171
06,020,25624
06,021,27895
06,022,25352
06,023,26986
06,024,24724
06,025,27817
06,026,26536
06,027,26867
06,028,22197
06,029,26154
06,030,22949
06,031,24768
06,032,23563
06,033,24948
06,034,23669
06,035,28933
06,036,26608
06,037,25826
06,038,24022
06,039,23385
06,040,26545
06,041,26110
06,042,26734
06,043,27275
06,044,31579
06,045,26379
06,046,24360
06,047,23056
06,048,23808
06,049,24946
06,050,21888
06,051,25406
06,052,24910
06,053,25586
06,054,23073
06,055,25464
06,056,23848
06,057,22529
06,058,25422
06,059,23641
06,060,23287
06,061,22913
06,062,22306
06,063,23502
06,064,25106
06,065,27076
06,066,26665
06,067,24780
06,068,28036
06,069,26344
06,070,24000
